,Title,Keywords,Actual category,Predicted_Categories
81,"['ClassAMP: a prediction tool for classification of antimicrobial peptides.', '22732690']","['censored', 'covariates', 'data', 'partitioning', 'recursive', 'right', 'survival', 'tree', 'varying']",gene-expression-microarray,"['gene-expression-microarray', 'genome-annotation2', 'laser-scanning-microscopy', 'mathematical-modeling', 'phylogenetics-and-phylogenomics', 'rna-seq', 'whole-genome-resequencing']"
82,"['Metagenomic abundance estimation and diagnostic testing on species level.', '22941661']","['coupling', 'druggability', 'network', 'propagation', 'shock', 'signal', 'variants']",protein-structure-analysis,"['genome-annotation2', 'metagenomics', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
83,"['Image simulation for biological microscopy: microlith.', '24940543']","['acquisition', 'colocalization', 'image']",laser-scanning-microscopy,"['laser-scanning-microscopy', 'protein-interaction-analysis', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
84,"['PhylArray: phylogenetic probe design algorithm for microarray.', '17698494']","['animals', 'biogenesis', 'depends', 'friendly', 'identify', 'interface', 'lacks', 'mirna', 'novel', 'objective', 'party', 'plant', 'probabilistic', 'tools', 'user']",rna-seq,"['dna-sequence-databases', 'rna-seq', 'whole-genome-resequencing']"
85,"['Prediction of mRNA polyadenylation sites by support vector machine.', '16870936']","['document', 'mirna', 'processing', 'seed']",rna-seq,"['dna-sequence-databases', 'rna-seq', 'whole-genome-resequencing']"
86,"['Computational analysis of cell-to-cell heterogeneity in single-cell RNA-sequencing data reveals hidden subpopulations of cells.', '25599176']","['assist', 'biomedical', 'biomedicine', 'citations', 'decision', 'hypothesis', 'knowledge', 'literature', 'object', 'pubmed', 'relations', 'repository', 'semantic', 'subject', 'supporting']",information-extraction,"['dna-sequence-databases', 'gene-expression-microarray', 'information-extraction', 'rna-transcription-databases']"
87,"['Expanded and updated data and a query pipeline for iBeetle-Base.', '29069517']","['amino', 'analyze', 'antibody', 'compile', 'conjunction', 'glycosylation', 'hiv', 'panel', 'panels', 'viruses']",immunology,"['dna-sequence-databases', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'rna-transcription-databases', 'whole-genome-resequencing']"
88,"['Prediction and analysis of quorum sensing peptides based on sequence features.', '25781990']","['aids', 'contained', 'embl', 'heidelberg', 'inspect', 'just', 'medline', 'reading', 'references', 'subjects', 'summarizing']",information-extraction,"['dna-sequence-databases', 'gene-expression-microarray', 'information-extraction', 'peptide-databases', 'rna-transcription-databases']"
89,"['CGARS: cancer genome analysis by rank sums.', '24413525']","['alterations', 'appropriate', 'breakpoints', 'characterize', 'chromosome', 'clear', 'copy', 'detect', 'gains', 'inspection', 'losses', 'models', 'noise', 'particular', 'profile', 'profiles', 'proposed', 'signal', 'tumor', 'visual']",acgh-and-snp-microarray,"['acgh-and-snp-microarray', 'chip-seq', 'phylogenetics-and-phylogenomics', 'whole-exome-sequencing']"
90,"['LGICdb: a manually curated sequence database after the genomes.', '16381861']","['cancer', 'candidate', 'cell', 'certain', 'determining', 'ideal', 'lines', 'lung', 'needed', 'patients', 'rnai', 'screening', 'targeted', 'targets', 'therapies']",protein-interaction-analysis,"['acgh-and-snp-microarray', 'dna-sequence-databases', 'immunology', 'laser-scanning-microscopy', 'peptide-databases', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
91,"['WebScipio: Reconstructing alternative splice variants of eukaryotic proteins.', '23677611']","['3d', 'ability', 'accessible', 'analyze', 'blast', 'cerevisiae', 'compare', 'comparison', 'offers', 'pfam', 'predictions', 'pssm', 'saccharomyces', 'sam', 'sequence', 'service', 'structure', 'superfamily', 'web', 'yeast']",protein-structure-analysis,"['genome-annotation2', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'whole-genome-resequencing']"
92,"['Impact of genomic polymorphisms on the repertoire of human MHC class I-associated peptides.', '24714562']","['able', 'action', 'automated', 'candidate', 'desired', 'diverse', 'efficacy', 'gained', 'inducing', 'insight', 'libraries', 'little', 'mechanism', 'molecule', 'molecules', 'phenotype', 'rapidly', 'resulting', 'screening', 'set', 'shared', 'small', 'underlying', 'usually']",protein-structure-analysis,"['dna-sequence-databases', 'immunology', 'laser-scanning-microscopy', 'mathematical-modeling', 'metagenomics', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis']"
93,"['IRESite: the database of experimentally verified IRES structures (www.iresite.org).', '16381829']","['frequently', 'lys', 'peptide', 'peptides']",peptide-databases,"['immunology', 'peptide-databases']"
94,"['DBATE: database of alternative transcripts expression.', '23842462']","['additions', 'edited', 'genic', 'isoforms', 'libraries', 'mirnas', 'owing', 'ready', 'rna', 'small', 'standardize']",rna-seq,"['dna-sequence-databases', 'rna-seq', 'single-cell-rna-seq']"
95,"['GoPubMed: exploring PubMed with the Gene Ontology.', '15980585']","['branching', 'diversification', 'lineage', 'models', 'rates']",phylogenetics-and-phylogenomics,"['gene-expression-microarray', 'mathematical-modeling', 'metagenomics', 'phylogenetics-and-phylogenomics', 'single-cell-rna-seq']"
96,"['iMet-Q: A User-Friendly Tool for Label-Free Metabolomics Quantitation Using Dynamic Peak-Width Determination.', '26784691']","['colour', 'copy', 'cut', 'dedicated', 'editing', 'files', 'ii', 'iii', 'iv', 'java', 'managing', 'mediated', 'original', 'overview', 'sub', 'tree', 'trees', 'viewing', 'windows']",phylogenetics-and-phylogenomics,"['acgh-and-snp-microarray', 'gene-expression-microarray', 'phylogenetics-and-phylogenomics', 'rna-seq', 'whole-exome-sequencing']"
97,"['myVCF: a desktop application for high-throughput mutations data management.', '29036298']","['clustering', 'emerged', 'functional', 'hard', 'instance', 'leading', 'limitation', 'markov', 'mismatch', 'modules', 'networks', 'overlap', 'ppi', 'regularized']",protein-interaction-analysis,"['genome-annotation2', 'mathematical-modeling', 'metagenomics', 'protein-interaction-analysis', 'rna-seq', 'single-cell-rna-seq', 'whole-genome-resequencing']"
98,"['ADMET evaluation in drug discovery. 11. PharmacoKinetics Knowledge Base (PKKB): a comprehensive database of pharmacokinetic and toxic properties for drugs.', '22559792']","['cell', 'differentiation', 'dimensionality', 'expression', 'generally', 'infer', 'insights', 'measurement', 'paths', 'populations', 'proper', 'reduction', 'single', 'struggle', 'suggested', 'visualise']",single-cell-rna-seq,"['genome-annotation2', 'rna-seq', 'single-cell-rna-seq']"
99,"['ABodyBuilder: Automated antibody structure prediction with data-driven accuracy estimation.', '27392298']","['cell', 'cells', 'detection', 'image', 'method', 'neurons', 'quantification', 'response', 'step', 'zebrafish']",laser-scanning-microscopy,"['acgh-and-snp-microarray', 'immunology', 'laser-scanning-microscopy', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-exome-sequencing']"
100,"['HoPaCI-DB: host-Pseudomonas and Coxiella interaction database.', '24137008']","['links', 'liver', 'proteins', 'proteome']",genome-annotation2,"['dna-sequence-databases', 'genome-annotation2', 'information-extraction', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-transcription-databases', 'whole-genome-resequencing']"
101,"['FastTree 2--approximately maximum-likelihood trees for large alignments.', '20224823']","['genes', 'micrornas', 'os']",dna-sequence-databases,"['acgh-and-snp-microarray', 'dna-sequence-databases', 'information-extraction', 'peptide-databases', 'protein-interaction-analysis', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
102,"['DNAFSMiner: a web-based software toolbox to recognize two types of functional sites in DNA sequences.', '15284102']","['diversity', 'environmental', 'pipeline', 'project', 'software']",mathematical-modeling,"['chip-seq', 'gene-expression-microarray', 'mathematical-modeling', 'phylogenetics-and-phylogenomics']"
103,"['SSUnique: Detecting Sequence Novelty in Microbiome Surveys.', '28028549']","['chemical', 'document', 'entity', 'extraction', 'parsing', 'tables', 'textual']",information-extraction,"['dna-sequence-databases', 'information-extraction', 'metagenomics', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-transcription-databases']"
104,"['UCHIME improves sensitivity and speed of chimera detection.', '21700674']","['capabilities', 'exploration', 'infection', 'influenza', 'relations', 'virus']",protein-structure-analysis,"['dna-sequence-databases', 'genome-annotation2', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'whole-genome-resequencing']"
105,"['A grammar-based distance metric enables fast and accurate clustering of large sets of 16S sequences.', '21167044']","['base', 'canonical', 'identification', 'loop', 'motif', 'motifs', 'rna', 'structural', 'turn']",rna-structure-analysis,"['chip-seq', 'genome-annotation2', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases']"
106,"['g:Profiler--a web server for functional interpretation of gene lists (2011 update).', '21646343']","['alternative', 'exon', 'isoforms', 'learning', 'positive', 'remain', 'splicing', 'transcripts']",single-cell-rna-seq,"['genome-annotation2', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
107,"[""The USRDS: what you need to know about what it can and can't tell us about ESRD."", '23124788']","['chromosomes', 'individuals', 'sex']",whole-exome-sequencing,"['acgh-and-snp-microarray', 'chip-seq', 'mathematical-modeling', 'rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
108,"['Sierra platinum: a fast and robust peak-caller for replicated ChIP-seq experiments with visual quality-control and -steering.', '27634469']","['aligner', 'gene', 'july', 'online', 'quality', 'rrna', 'subunit']",whole-genome-resequencing,"['dna-sequence-databases', 'genome-annotation2', 'mathematical-modeling', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
109,"['circRNADb: A comprehensive database for human circular RNAs with protein-coding annotations.', '27725737']","['cases', 'individuals', 'matching', 'phenotype', 'phenotypes', 'similar']",whole-exome-sequencing,"['laser-scanning-microscopy', 'phylogenetics-and-phylogenomics', 'whole-exome-sequencing', 'whole-genome-resequencing']"
110,"['Data preprocessing method for liquid chromatography-mass spectrometry based metabolomics.', '22931487']","['accepted', 'elementary', 'enumeration', 'equivalent', 'extreme', 'flux', 'geometry', 'metabolic', 'modes', 'network', 'preventing', 'scaling', 'shaping', 'steady', 'superpositions', 'valid']",metagenomics,"['genome-annotation2', 'metagenomics', 'protein-interaction-analysis']"
111,"['Discovery and statistical genotyping of copy-number variation from whole-exome sequencing depth.', '23040492']","['chromatography', 'extension', 'fluxes', 'gained', 'gathered', 'isotope', 'labelled', 'labelling', 'lacks', 'liquid', 'mass', 'metabolite', 'metabolomics', 'peaks', 'popularity', 'routine', 'spectrometry', 'stable', 'steady']",metagenomics,['metagenomics']
112,"['DSSTox chemical-index files for exposure-related experiments in ArrayExpress and Gene Expression Omnibus: enabling toxico-chemogenomics data linkages.', '19158160']","['application', 'capabilities', 'cluster', 'computers', 'dependencies', 'experimental', 'implement', 'java', 'mathematical', 'modular', 'owing', 'parallel', 'pure', 'reconstructing', 'regulatory', 'scripting', 'simulate', 'usable']",whole-genome-resequencing,"['gene-expression-microarray', 'genome-annotation2', 'metagenomics', 'phylogenetics-and-phylogenomics', 'protein-interaction-analysis', 'whole-genome-resequencing']"
113,"['CLO: The cell line ontology.', '25852852']","['database', 'mirna', 'mutations', 'rnas', 'seed', 'somatic', 'target']",dna-sequence-databases,"['dna-sequence-databases', 'rna-seq', 'rna-transcription-databases', 'whole-exome-sequencing', 'whole-genome-resequencing']"
114,"['Determining crystal structures through crowdsourcing and coursework.', '27633552']","['aligned', 'cell', 'datasets', 'immune', 'reads', 'reuse', 'scrna', 'seq']",rna-transcription-databases,"['chip-seq', 'genome-annotation2', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq']"
115,"['Comprehensive risk assessments of diabetic patients from seven Asian countries: The Joint Asia Diabetes Evaluation (JADE) program.', '21599865']","['bioinf', 'calling', 'gwas', 'march', 'ngs', 'reads', 'site', 'snps']",whole-genome-resequencing,"['acgh-and-snp-microarray', 'chip-seq', 'rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
116,"['XCMS: processing mass spectrometry data for metabolite profiling using nonlinear peak alignment, matching, and identification.', '16448051']","['accessing', 'applications', 'bioinformatics', 'browsed', 'connections', 'databases', 'demonstrating', 'devices', 'digital', 'internet', 'mobile', 'pc', 'personal', 'service']",information-extraction,"['gene-expression-microarray', 'genome-annotation2', 'information-extraction', 'metagenomics', 'rna-transcription-databases']"
117,"['DeAnnCNV: a tool for online detection and annotation of copy number variations from whole-exome sequencing data.', '26013811']","['block', 'channels', 'databank', 'exceptional', 'genus', 'graphic', 'manages', 'marine', 'modifications', 'peptides', 'sequences', 'species', 'swissprot']",peptide-databases,"['dna-sequence-databases', 'peptide-databases', 'protein-structure-analysis', 'rna-transcription-databases', 'whole-genome-resequencing']"
118,"['Recognition of errors in three-dimensional structures of proteins.', '8108378']","['assessed', 'bias', 'control', 'downstream', 'efficiency', 'enrichment', 'exome', 'interrogate', 'lack', 'loci', 'needed', 'performing', 'report', 'sensitivity', 'sequencing', 'specific', 'specificity', 'targeted']",whole-exome-sequencing,"['chip-seq', 'mathematical-modeling', 'rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
119,"['Inferring Phylogenetic Networks with Maximum Pseudolikelihood under Incomplete Lineage Sorting.', '26950302']","['body', 'editing', 'humans', 'prominent', 'rna']",rna-transcription-databases,"['dna-sequence-databases', 'genome-annotation2', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'single-cell-rna-seq']"
120,"['CURE-Chloroplast: a chloroplast C-to-U RNA editing predictor for seed plants.', '19422723']","['adequate', 'clinical', 'critical', 'laboratory', 'large', 'maintain', 'manage', 'management', 'patient', 'patients', 'population', 'require', 'samples', 'select', 'sequencing', 'steps', 'studies', 'subject', 'thousands', 'track']",gene-expression-microarray,"['acgh-and-snp-microarray', 'chip-seq', 'gene-expression-microarray', 'mathematical-modeling', 'whole-exome-sequencing', 'whole-genome-resequencing']"
121,"['MetAmp: combining amplicon data from multiple markers for OTU analysis.', '25630378']","['accuracy', 'fragment', 'run', 'screening', 'superposition', 'times']",protein-structure-analysis,"['genome-annotation2', 'immunology', 'metagenomics', 'peptide-databases', 'phylogenetics-and-phylogenomics', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-structure-analysis']"
122,"['UniFrac--an online tool for comparing microbial community diversity in a phylogenetic context.', '16893466']","['assignment', 'characterized', 'classifies', 'critical', 'divergent', 'estimate', 'genotype', 'genotypes', 'hundreds', 'learned', 'order', 'references', 'report', 'sequences', 'significance', 'spectra', 'typically', 'utilizes', 'viruses']",phylogenetics-and-phylogenomics,"['acgh-and-snp-microarray', 'genome-annotation2', 'mathematical-modeling', 'phylogenetics-and-phylogenomics', 'rna-transcription-databases', 'whole-exome-sequencing', 'whole-genome-resequencing']"
123,"['Comprehensive FISH probe design tool applied to imaging human immunoglobulin class switch recombination.', '23272136']","['better', 'complexes', 'developing', 'functions', 'interfaces', 'intermolecular', 'molecular', 'necessary', 'potentials', 'prediction', 'procedures', 'protein', 'public', 'recognition', 'resources', 'scoring', 'search', 'studying', 'understanding']",protein-interaction-analysis,"['dna-sequence-databases', 'genome-annotation2', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
124,"['OGtree: a tool for creating genome trees of prokaryotes based on overlapping genes.', '18456706']","['appearance', 'combine', 'establish', 'geographic', 'inspect', 'mode', 'origin', 'phylogenies', 'requiring', 'resistance', 'risk', 'seeking', 'strain', 'surveillance', 'survey', 'today', 'trace', 'transmission', 'virus']",phylogenetics-and-phylogenomics,"['dna-sequence-databases', 'genome-annotation2', 'peptide-databases', 'phylogenetics-and-phylogenomics', 'protein-structure-analysis', 'whole-genome-resequencing']"
125,"['MimoPro: a more efficient Web-based tool for epitope prediction using phage display libraries.', '21609501']","['alternative', 'arising', 'constructing', 'organized', 'serves', 'splicing', 'wealth']",rna-transcription-databases,"['genome-annotation2', 'rna-transcription-databases', 'single-cell-rna-seq']"
126,"['SPdb--a signal peptide database.', '16221310']","['active', 'activity', 'classifying', 'condition', 'flux', 'gene', 'inactive', 'methods', 'states', 'transcriptomics']",metagenomics,"['chip-seq', 'dna-sequence-databases', 'genome-annotation2', 'mathematical-modeling', 'metagenomics', 'phylogenetics-and-phylogenomics', 'protein-interaction-analysis', 'rna-seq', 'single-cell-rna-seq', 'whole-genome-resequencing']"
127,"['PhenoVar: a phenotype-driven approach in clinical genomics for the diagnosis of polymalformative syndromes.', '24884844']","['causes', 'cnvs', 'compares', 'consistently', 'control', 'deletions', 'duplications', 'frequent', 'heterozygous', 'homozygous', 'personal', 'principal', 'remove']",whole-exome-sequencing,"['acgh-and-snp-microarray', 'whole-exome-sequencing']"
128,"['APPRIS WebServer and WebServices.', '25990727']","['arrays', 'calls', 'cna', 'cnas', 'cnvs', 'copy', 'number', 'tissue', 'tumor']",acgh-and-snp-microarray,"['acgh-and-snp-microarray', 'whole-exome-sequencing']"
129,"['C16S - a Hidden Markov Model based algorithm for taxonomic classification of 16S rRNA gene sequences.', '22326741']","['breakpoints', 'discordant', 'generation', 'pairs', 'read', 'split', 'sv']",whole-exome-sequencing,"['chip-seq', 'genome-annotation2', 'mathematical-modeling', 'rna-seq', 'whole-exome-sequencing']"
130,"['BOND: Basic OligoNucleotide Design.', '23444904']","['designed', 'heat', 'list', 'million', 'prototype', 'research', 'retrieval', 'sentences']",information-extraction,"['dna-sequence-databases', 'gene-expression-microarray', 'information-extraction', 'rna-transcription-databases']"
131,"['MeSHSim: An R/Bioconductor package for measuring semantic similarity over MeSH headings and MEDLINE documents.', '26471719']","['bioinfo', 'es', 'experimentally', 'mirna', 'mrna', 'mrnas', 'pairs', 'validated']",dna-sequence-databases,"['dna-sequence-databases', 'genome-annotation2', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
132,"['AgeFactDB--the JenAge Ageing Factor Database--towards data integration in ageing research.', '24217911']","['biosynthetic', 'chemical', 'chemicals', 'explore', 'potentials', 'precursor', 'reactions']",metagenomics,"['dna-sequence-databases', 'metagenomics', 'peptide-databases', 'protein-structure-analysis', 'whole-genome-resequencing']"
133,"['CloudDOE: a user-friendly tool for deploying Hadoop clouds and analyzing high-throughput sequencing data with MapReduce.', '24897343']","['classes', 'distribution', 'misleading', 'purifying', 'selection', 'site']",phylogenetics-and-phylogenomics,"['acgh-and-snp-microarray', 'chip-seq', 'genome-annotation2', 'immunology', 'mathematical-modeling', 'phylogenetics-and-phylogenomics', 'protein-structure-analysis', 'rna-seq', 'single-cell-rna-seq', 'whole-genome-resequencing']"
134,"['Automated prediction of three-way junction topological families in RNA secondary structures.', '22326420']","['chip', 'cpg', 'discovery', 'elements', 'framework', 'methylation', 'motifs', 'tf']",chip-seq,"['chip-seq', 'rna-seq']"
135,"['tRNAmodpred: A computational method for predicting posttranscriptional modifications in tRNAs.', '27016142']","['amplification', 'bisulfite', 'conversion', 'cytosine', 'epigenetic', 'issues', 'methylation', 'ngs', 'pcr', 'quality']",chip-seq,"['acgh-and-snp-microarray', 'chip-seq', 'mathematical-modeling', 'rna-seq', 'whole-exome-sequencing']"
136,"['High-resolution mapping and characterization of open chromatin across the genome.', '18243105']","['conditions', 'constituting', 'data', 'dimensional', 'expression', 'gene', 'patterns', 'sample', 'series', 'similar', 'time']",genome-annotation2,"['acgh-and-snp-microarray', 'chip-seq', 'genome-annotation2', 'laser-scanning-microscopy', 'metagenomics', 'protein-interaction-analysis', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
137,"['PuReD-MCL: a graph-based PubMed document clustering methodology.', '18593717']","['database', 'entries', 'search', 'text']",peptide-databases,"['dna-sequence-databases', 'information-extraction', 'peptide-databases', 'rna-transcription-databases']"
138,"['RegTransBase--a database of regulatory sequences and interactions in a wide range of prokaryotic genomes.', '17142223']","['biochemically', 'fragmentation', 'molecules', 'relevant', 'spectra', 'substructures']",metagenomics,"['dna-sequence-databases', 'genome-annotation2', 'information-extraction', 'metagenomics', 'protein-interaction-analysis', 'protein-structure-analysis', 'whole-genome-resequencing']"
139,"['WemIQ: an accurate and robust isoform quantification method for RNA-seq data.', '25406327']","['2d', 'acids', 'costly', 'easier', 'flat', 'macromolecules', 'maps', 'nucleic', 'reasonable', 'structures', 'superposition', 'surfaces', 'visualize']",rna-structure-analysis,"['genome-annotation2', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases']"
140,"['Energy parameters and novel algorithms for an extended nearest neighbor energy model of RNA.', '24586240']","['imgt', 'quest']",immunology,"['chip-seq', 'rna-transcription-databases', 'whole-exome-sequencing']"
141,"['INTERFEROME: the database of interferon regulated genes.', '18996892']","['classifier', 'composition', 'features', 'prediction', 'protein', 'prove', 'pssm', 'sequences', 'svm', 'trained']",whole-genome-resequencing,"['genome-annotation2', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'whole-genome-resequencing']"
142,"['miRDeep2 accurately identifies known and hundreds of novel microRNA genes in seven animal clades.', '21911355']","['acceleration', 'articles', 'curate', 'decades', 'dedicated', 'dramatic', 'genomic', 'heavily', 'publications', 'relied', 'staff', 'teams', 'witnessed']",information-extraction,"['chip-seq', 'dna-sequence-databases', 'information-extraction', 'peptide-databases', 'rna-transcription-databases', 'whole-genome-resequencing']"
143,"['Single-cell mRNA quantification and differential analysis with Census.', '28114287']","['acetylation', 'gps', 'sites', 'specific']",protein-interaction-analysis,"['chip-seq', 'dna-sequence-databases', 'immunology', 'protein-interaction-analysis', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
144,"['PheNetic: network-based interpretation of molecular profiling data.', '25878035']","['allelic', 'cancer', 'detection', 'events', 'imbalance', 'imbalanced', 'low', 'prognostic', 'subtle', 'tumor']",whole-exome-sequencing,"['acgh-and-snp-microarray', 'chip-seq', 'whole-exome-sequencing']"
145,"['RNA structure prediction from evolutionary patterns of nucleotide composition.', '19129237']","['calls', 'cnv', 'copy', 'genotypes', 'number', 'rare', 'snp']",acgh-and-snp-microarray,"['acgh-and-snp-microarray', 'whole-exome-sequencing']"
146,"['The large-scale digital cell analysis system: an open system for nonperturbing live cell imaging.', '18045324']","['biomarkers', 'cancer', 'endogenous', 'peptides', 'precursor', 'resource']",peptide-databases,"['acgh-and-snp-microarray', 'dna-sequence-databases', 'peptide-databases', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
147,"['NASSAM: a server to search for and annotate tertiary interactions and motifs in three-dimensional structures of complex RNA molecules.', '22661578']","['construct', 'data', 'genbank', 'matrix', 'missing', 'phylogenetic', 'run', 'sequence', 'taxonomic']",phylogenetics-and-phylogenomics,"['gene-expression-microarray', 'mathematical-modeling', 'phylogenetics-and-phylogenomics', 'whole-genome-resequencing']"
148,"['Entropy-scaling search of massive biological data.', '26436140']","['images', 'physical', 'sources', 'spatial', 'spatiotemporal', 'temporal', 'transfer']",gene-expression-microarray,"['chip-seq', 'gene-expression-microarray', 'genome-annotation2', 'laser-scanning-microscopy', 'mathematical-modeling', 'phylogenetics-and-phylogenomics', 'protein-interaction-analysis', 'single-cell-rna-seq']"
149,"['OpenADAM: an open source genome-wide association data management system for Affymetrix SNP arrays.', '19117518']","['3d', 'acids', 'analyses', 'analyzing', 'combines', 'comparing', 'complexes', 'contact', 'effectiveness', 'interface', 'intermolecular', 'maps', 'nucleic', 'protein', 'traditional', 'visualization', 'visualizing']",protein-interaction-analysis,"['gene-expression-microarray', 'genome-annotation2', 'laser-scanning-microscopy', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'whole-genome-resequencing']"
150,"['ASPeak: an abundance sensitive peak detection algorithm for RIP-Seq.', '23929032']","['16s', 'clustering', 'followed', 'gene', 'otus', 'profiling', 'rrna', 'short', 'taxonomic']",mathematical-modeling,['mathematical-modeling']
151,"['A database of immunoglobulins with integrated tools: DIGIT.', '22080506']","['classifiers', 'forest', 'independent', 'mammalian', 'nucleotide', 'positions', 'random', 'rna', 'tests']",single-cell-rna-seq,"['chip-seq', 'genome-annotation2', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'single-cell-rna-seq']"
152,"['Integrated biclustering of heterogeneous genome-wide datasets for the inference of global regulatory networks.', '16749936']","['disease', 'drug', 'network', 'novel', 'repositioning', 'targets']",dna-sequence-databases,"['dna-sequence-databases', 'immunology', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-transcription-databases']"
153,"['An iterated loop matching approach to the prediction of RNA secondary structures with pseudoknots.', '14693809']","['bioconductor', 'differential', 'expression', 'external', 'interplay', 'loading', 'numerous', 'packages', 'past', 'precise', 'profiling', 'rna', 'sequencing', 'solutions', 'sought', 'tasks']",genome-annotation2,"['chip-seq', 'gene-expression-microarray', 'genome-annotation2', 'rna-seq', 'single-cell-rna-seq']"
154,"['UPARSE: highly accurate OTU sequences from microbial amplicon reads.', '23955772']","['anisotropic', 'diffusion', 'equations', 'proposed', 'regularization', 'smoothing', 'valued']",laser-scanning-microscopy,"['gene-expression-microarray', 'genome-annotation2', 'information-extraction', 'laser-scanning-microscopy', 'metagenomics', 'protein-interaction-analysis', 'single-cell-rna-seq']"
155,"['LimsPortal and BonsaiLIMS: development of a lab information management system for translational medicine.', '21569484']","['amino', 'called', 'comprehension', 'foreign', 'formulating', 'immune', 'lin', 'postgenomic', 'server', 'uestc']",immunology,"['genome-annotation2', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
156,"['Gene-Set Local Hierarchical Clustering (GSLHC)--A Gene Set-Based Approach for Characterizing Bioactive Compounds in Terms of Biological Functional Groups.', '26473729']","['adopt', 'annotations', 'disulfide', 'feature', 'formula', 'pattern', 'randomized', 'text']",genome-annotation2,"['genome-annotation2', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis']"
157,"['SATPdb: a database of structurally annotated therapeutic peptides.', '26527728']","['advance', 'belong', 'brought', 'cell', 'cells', 'fewer', 'noisy', 'objects', 'phenomena', 'single', 'transcriptome', 'variables']",single-cell-rna-seq,"['laser-scanning-microscopy', 'single-cell-rna-seq']"
158,"['MS/MS spectral tag-based annotation of non-targeted profile of plant secondary metabolites.', '18939963']","['acidic', 'bioactive', 'corresponding', 'defense', 'moiety', 'peptides', 'prosite', 'skin', 'sp']",peptide-databases,"['peptide-databases', 'protein-structure-analysis', 'rna-transcription-databases', 'whole-genome-resequencing']"
159,"['Comprehensive analysis of human small RNA sequencing data provides insights into expression profiles and miRNA editing.', '25692236']","['constraints', 'extraction', 'identifying', 'motif', 'motifs', 'occur']",chip-seq,"['chip-seq', 'protein-interaction-analysis', 'rna-seq', 'rna-structure-analysis', 'single-cell-rna-seq']"
160,"['Probing binding hot spots at protein-RNA recognition sites.', '26365245']","['boltzmann', 'electrostatic', 'electrostatics', 'element', 'equation', 'finite', 'ionic', 'objective', 'poisson', 'server', 'size']",protein-structure-analysis,"['gene-expression-microarray', 'genome-annotation2', 'information-extraction', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-structure-analysis']"
